company_dba,address_concat,latitude,longitude,rating,total_ratings,marta_density_score,user_rating_score,viability_score
SOW ATL2,2061 Donald Lee Hollowell Parkway nw nan nan ATLANTA GA 30318,33.777018242412,-84.452851323622,,,31060.224518284012,0.0,0.0
District 12 Social Lounge,2040 SYLVAN nan RD ATLANTA GA 30310,33.699041355261,-84.417869199262,,,28245.941790871017,0.0,0.0
,943 WASHINGTON Street Atlanta GA nan,33.729053974957,-84.391268391344,,,4276.849973810796,0.0,0.0
,2100 METROPOLITAN Parkway Atlanta GA nan,33.697025046543,-84.407730449181,,,57812.02619446939,0.0,0.0
,2096 METROPOLITAN PKWY ATLANTA GA 30310,33.697500216634,-84.407733550485,,,23158.614483463036,0.0,0.0
,2841 GREENBRIAR PKWY ATLANTA GA 30331,33.686618033651,-84.495719393946,,,12714.22648410407,0.0,0.0
,946 MARTIN L KING JR DR ATLANTA GA 30314,33.754325329212,-84.418376891137,,,14721.532357430986,0.0,0.0
,394 CLEVELAND AVE ATLANTA GA 30315,33.680613573492,-84.401646780037,,,11868.151866511944,0.0,0.0
,3041 HEADLAND DR ATLANTA GA 30311,33.689871008363,-84.488292021904,,,26612.220753543603,0.0,0.0
,35 HAMILTON E HOLMES DR ATLANTA GA 30311,33.75280535489,-84.46687114633,,,23387.76522242594,0.0,0.0
,2596 BANKHEAD PKWY ATLANTA GA 30303,33.775534980826,-84.472362969291,,,14055.693608716963,0.0,0.0
,2080 CAMPBELLTON RD ATLANTA GA 30311,33.705298990805,-84.456916965757,,,15821.544508655708,0.0,0.0
,2000 SYLVAN RD ATLANTA GA 30310,33.699871457042,-84.418030131803,,,16787.651766138628,0.0,0.0
,2975 HEADLAND DR ATLANTA GA 30311,33.691690174719,-84.48678780556,,,4207.890795178809,0.0,0.0
,875 MARTIN L KING JR DR ATLANTA GA 30314,33.754946931151,-84.41616834347,,,9058.544629315042,0.0,0.0
,2740 GREENBRIAR PKWY ATLANTA GA 30331,33.688594989334,-84.488609696035,,,9657.805930489301,0.0,0.0
,2841 GREENBRIAR PKWY ATLANTA GA 30331,33.686618033651,-84.495719393946,,,12714.22648410407,0.0,0.0
,10 NORTHSIDE DR ATLANTA GA 30314,33.75482929114,-84.40322207492,,,10096.406158235854,0.0,0.0
,1796 DELOWE DR ATLANTA GA 30311,33.70687499815,-84.457367995967,,,32081.593984566538,0.0,0.0
,2841 GREENBRIAR PKWY ATLANTA GA 30331,33.686618033651,-84.495719393946,,,12714.22648410407,0.0,0.0
,1217 METROPOLITAN PKWY ATLANTA GA 30310,33.721711553504,-84.408338891532,,,14122.4154235867,0.0,0.0
,3534 MARTIN L KING JR DR ATLANTA GA 30331,33.757683957814,-84.503396211426,,,25055.50293883322,0.0,0.0
,910 HARWELL ST ATLANTA GA 30314,33.755498623747,-84.417730050933,,,14657.452423622373,0.0,0.0
,1608 JOSEPH E BOONE BLVD ATLANTA GA 30314,33.763490982244,-84.440157015082,,,32497.51096786071,0.0,0.0
,501 FAIRBURN RD ATLANTA GA 30331,33.739616597881,-84.512188827857,,,4994.708952828483,0.0,0.0
,200 CLEVELAND AVE ATLANTA GA 30315,33.680817798563,-84.394918710177,,,11925.673471526123,0.0,0.0
,2841 GREENBRIAR PKWY ATLANTA GA 30331,33.686618033651,-84.495719393946,,,12714.22648410407,0.0,0.0
,2301 MARIETTA BLVD ATLANTA GA 30318,33.805879581768,-84.46441014452,,,10143.088567242088,0.0,0.0
Dream Provisions,448 Ralph D Abernathy nan BLVD Atlanta GA 30312,33.736452010337,-84.402592007258,,,12622.283082205457,0.0,0.0
,3 ASHBY ST ATLANTA GA 30314,33.754475700555,-84.417943379105,,,35536.10330438493,0.0,0.0
,3195 BANKHEAD HWY ATLANTA GA 30318,33.786596368899,-84.491483347719,,,16929.016620285995,0.0,0.0
,2284 CASCADE RD ATLANTA GA 30311,33.721883508247,-84.463411431975,,,14199.714121276564,0.0,0.0
,2885 LAKEWOOD AVE ATLANTA GA 30315,33.697977188834,-84.410516090882,,,4506.9973412613235,0.0,0.0
,881 BANKHEAD HWY ATLANTA GA 30318,33.773460166423,-84.416133223295,,,16308.96143076863,0.0,0.0
,2685 METROPOLITAN PKWY ATLANTA GA 30315,33.682657416762,-84.409021094632,,,8418.542585110965,0.0,0.0
,3083 MARTIN L KING JR DR ATLANTA GA 30311,33.751381461456,-84.488481325899,,,46588.61156088383,0.0,0.0
,2644 METROPOLITAN PKWY ATLANTA GA 30315,33.68228886448,-84.407391401197,,,15762.451055235617,0.0,0.0
,798 JAMES JACKSON PKWY ATLANTA GA 30318,33.777066103079,-84.474378397909,,,22521.461485046482,0.0,0.0
,1665 JONESBORO RD ATLANTA GA 30315,33.706621655126,-84.379863387151,,,49168.01021838498,0.0,0.0
,2760 GREENBRIAR PKWY ATLANTA GA 30331,33.688133984659,-84.489139180858,,,19353.312741471495,0.0,0.0
,3566 MARTIN L KING JR DR ATLANTA GA 30303,33.758557561673,-84.504701776665,,,13400.32208306647,0.0,0.0
,3085 CAMPBELLTON RD ATLANTA GA 30311,33.693910918056,-84.489776792233,,,15482.497315292561,0.0,0.0
,1660 DONALD LEE HOLLOWEL PKWY ATLANTA GA 30318,33.772675578377,-84.442404035685,,,32976.83879134239,0.0,0.0
,1032 METROPOLITAN PKWY ATLANTA GA 30310,33.726791908837,-84.406181054379,,,7051.587313362171,0.0,0.0
,1892 METROPOLITAN PKWY ATLANTA GA 30315,33.70271715508,-84.407688623484,,,24031.90749568492,0.0,0.0
,1955 METROPOLITAN PKWY ATLANTA GA 30315,33.701578012529,-84.408444000598,,,8553.1882326265,0.0,0.0
,448 RALPH D ABERNATHY  BLVD ATLANTA GA 30312,33.736367017839,-84.402476001718,,,11776.807301462617,0.0,0.0
BON APPETIT,1 PORSCHE DR ATLANTA GA 30354,33.651818215685,-84.398813110031,,,7494.478009182974,0.0,0.0
,2091 CAMPBELLTON RD ATLANTA GA 30311,33.706982202691,-84.456832308535,,,18940.837896855388,0.0,0.0
,2205 CAMPBELLTON RD ATLANTA GA 30311,33.705674793434,-84.460654288745,,,19638.567255974016,0.0,0.0
,490 FAIRBURN RD ATLANTA GA 30331,33.740936286627,-84.509952871366,,,22092.769399337863,0.0,0.0
,3650 JONESBORO RD ATLANTA GA 30354,33.655674980793,-84.366018997676,,,1302.7378037523117,0.0,
,3650 JONESBORO RD ATLANTA GA 30354,33.655674980793,-84.366018997676,,,1302.7378037523117,0.0,
