company_name,google_name,rating,total_ratings,review_count,status
DC WINGS & BBQ,D C Wings & BBQ,3.8,443,5,success
A TOWN WINGS,A Town Wings,4.2,1063,5,success
HAN'S CHINESE FOOD,Hans Chinese Food And Chicken Wings,4.1,916,5,success
SOMETHING SPECIAL,Something Special Restaurant,4.1,260,5,success
HISTORIC DON CLENDENON SUPPER CLUB & WILLIAMS TAVERN,Compound,3.5,267,5,success
BURGER KING #4182,Burger King,3.1,1531,5,success
CHECKERS #C1143,Checkers,3,1358,5,success
BIG DADDY'S KITCHEN,Big Daddy's Kitchen,4.1,2974,5,success
A TOWN CHINA EXPRESS,A Town Wings - Donald lee hollowell,4.3,752,5,success
EUREST DINNING SERVICE FOR ARM,Salvation Army School for Officer Training,4.9,7,5,success
MAMAS KITCHEN & ZONE3 CAR WASH,Zone 3 Car Wash,4.3,52,5,success
656 SPORTS BAR & GRILLE,656 Sports Bar & Grille,3.8,2582,5,success
Kemper's Cafe Caribbean Cuisine Inc,Kemper's Cafe Caribbean Cuisine Inc,4.1,577,5,success
REBEL RAW,Rebel Raw,4.9,135,5,success
BON APPETIT,1 Porsche Dr,,,0,success
AMERICAN DELI,American Deli,4.3,347,5,success
ELLERY'S,Club Ellery's,4.1,577,5,success
"T & M WINGS, INC/ATL WINGS",ATL Wings,4,606,5,success
BURGER KING,Burger King,2.8,886,5,success
ATLANTA'S BEST WINGS,Atlanta's Best Wings,4.2,510,5,success
WALTERS SOUL FOOD CAFE,Walter's Soul Food Cafe,4.1,1562,5,success
WENDY'S #9316,Wendy's,3.8,1007,5,success
WENDY'S STORE #324,Wendy's,3.5,1560,5,success
WENDY'S STORE #11148,Wendy's,3.6,1799,5,success
LUCKY PANDA ANGELA INC,Lucky Panda,4.2,497,5,success
MR PIGS SMOKEHOUSE,Mr. Pig's Smokehouse,4,1070,5,success
G TOWN WINGS AND FISH,G Town Wings & Fish,4.7,1203,5,success
OCCASIONAL OCCASSIONS BY CARL,,,,0,not_found
JAY'S CAFE,Jays cafe,4.8,13,5,success
CHICK-FIL-A,Chick-fil-A Vine City FSR,3.7,2163,5,success
AMERICAN DELI/AIKEN WINGS INC,American Deli,4,567,5,success
WNB FACTORY,WNB Factory - Wings & Burger,4.2,91,5,success
RESTAURANT 10,Restaurant 10 Bar & Grill,4.5,3787,5,success
C & J SPORTS BAR 2,Atl Sports Bar 2,4.1,324,5,success
CHURCH'S CHICKEN,Church's Texas Chicken,3.5,866,5,success
PICCADILLY HOLDINGS LLC,Piccadilly,4.1,1460,5,success
WING &SEAFOOD,Wings & Seafood,4,106,5,success
DOUBLE V RESTAURANTS/MCDONALDS,McDonald's,3.1,2200,5,success
LOCAL GREEN ATLANTA,Local Green Atlanta,4.5,608,5,success
COREY GHETTO BURGER,Cory’s spot,4.3,108,5,success
ACMR KITCHEN LLC,CenExel Atlanta GA,4,93,5,success
CHURCH'S CHICKEN,Church's Texas Chicken,3.3,563,5,success
SAUAGE TACO,Atlanta Expo Center North,4.3,382,5,success
MR EVERYTHING CAFE GREENBRIAR,Mr. Everything,3.8,145,5,success
GYRO CHEF,Gyro Chef Atlanta,3.6,72,5,success
ZAXBY'S,Zaxbys Chicken Fingers & Buffalo Wings,3.5,732,5,success
EZ WINGS INC,1192 Pryor Rd SW,,,0,success
TED'S MONTANA GRILL,Ted's Montana Grill,4.5,1005,5,success
Westside Motor Lounge,Westside Motor Lounge,4.4,557,5,success
CHECKERS-5852,Checkers,3,1019,5,success
CHECKERS-5307,Checkers,3.2,1108,5,success
Pizza Hut,Pizza Hut,2.7,771,5,success
Superior Vegan,Superior Vegan - Juices and Vegan Food,4.3,29,5,success
The Corner Grille Upper West Side,The Corner Grille Upper Westside,4.6,193,5,success
GC Ingredients Inc,GC Ingredients Inc,4.2,36,5,success
Try African Food,Bubbles African Kitchen,4.7,49,5,success
D.O.P. Cafe,D.O.P. Café To Go,,,0,success
JR Crickets Cascade,J R Crickets Cascade,3.8,1442,5,success
Tacos El Gallo,Tacos El Gallo,4,135,5,success
Little Caesars Pizza,Little Caesars Pizza,3.8,323,5,success
American Wings & Seafood,American Wings & Seafood,4.2,465,5,success
Nightmare Factory LLC,Nightmare's Gate Haunted House,4.4,367,5,success
Lazy Foodies,Lazy Foodies Bookings,4.7,141,5,success
Red Fire Kebabs,SOUTHERN FIRE KITCHEN,4.4,1877,5,success
Timiya's Kitchen,TiMiya’s KITCHEN,4.8,5,5,success
Sauced Up ATL,Sauced Up Kitchen,4.4,84,5,success
CONEY FACTORY,,,,0,not_found
Sammy’s Café,Sammy's,4.9,162,5,success
21 M Street LLC,21 M Street,5,1,1,success
Holy Smokin BBQ and Cajun Cuisine,Holy Smokin BBQ & Cajun Cuisine,5,54,5,success
Elote Express #1,1990 Perkerson Rd SW,,,0,success
Reese Vending,Metro One Vending LLC,,,0,success
Just Eat It,Just Eat It,4.7,18,5,success
"Off The Hook Crabs & Fish, LLC.",Off The Hook Crabs & Fish,4.2,63,5,success
La Zacatecana,La Zacatecana Supermercado,4.1,18,5,success
AMERICAN DELI,American Deli,3.7,77,5,success
Blendz Friendz On The Go,Blendz Friendz,4.5,585,5,success
